Enrollment_ID,Student_ID,Course_ID,First_semester,Grade
VDW52,SD74O,2OWVA,Fall 2022,C
N2YBY,A0PY6,KJ2GX,Fall 2022,C
9ZSI3,C15ED,ZTEEQ,Fall 2021,C
TJYTK,ARCW3,KJ2GX,Spring 2021,F
OTFI7,ZZZ8L,JZ4IG,Spring 2022,C
1451S,6PVGZ,VHHLS,Spring 2023,F
07SWG,SV23B,ZTEEQ,Spring 2023,B
E84IZ,M2L70,P7XUJ,Spring 2023,B
GWU63,2DBFW,1XYJS,Fall 2021,D
A68Q3,YHZIF,ADIY2,Spring 2022,C
R74W7,RW1CT,PWE9T,Spring 2023,F
8EFGI,6PVGZ,JJZX4,Fall 2020,F
9MTXG,7HML2,OVNCR,Fall 2020,C
R5STQ,Y3GJ0,TC1IL,Spring 2021,A
4TK7B,E6VY3,4QPMG,Spring 2022,B
CL2OB,IAAJY,E5TPT,Spring 2021,A
O667G,IRM1E,WNRDJ,Fall 2022,B
3IZXZ,2KITZ,WBWPP,Spring 2023,D
IJLLQ,2UH7W,M6F0D,Fall 2021,A
53ME0,QE7Y4,IO097,Fall 2022,B
27OWI,6SX7M,WCABT,Spring 2023,B
VJNG4,E6STQ,0BF6M,Fall 2021,D
DV2VI,KEBIQ,Y6UO5,Fall 2021,C
DVB36,BESDA,J16XD,Fall 2022,D
4JZTB,KLB40,1EKBM,Fall 2020,C
95IRC,MTDJO,J16XD,Fall 2021,B
YN61G,8L310,IO097,Fall 2021,A
FFY6V,7IN6B,HCI2B,Spring 2022,D
E1LSH,YHZIF,OVNCR,Spring 2022,C
9Y3T6,XW99H,M24VK,Spring 2022,C
MZS6I,RJRTC,2OWVA,Fall 2022,D
ZU3YJ,6X2LB,7GGC8,Spring 2022,C
3BLLG,6X2LB,7GGC8,Fall 2020,D
3O6KZ,CIU5J,YOPCH,Fall 2020,F
DT7WL,IAAJY,AXTO8,Spring 2022,A
TO98K,D7L74,PWE9T,Spring 2023,D
L5NAQ,6C666,1XYJS,Fall 2020,A
34BNV,C4ELE,YOPCH,Fall 2021,A
DXOG6,ZLVEE,WIMZY,Spring 2021,B
1PYA1,N29EW,E5TPT,Spring 2021,A
9TUVW,2VTR2,WCABT,Spring 2023,D
8NOI0,6F7QQ,N18K0,Spring 2023,C
1YFEI,YHZIF,JZ4IG,Fall 2022,A
624HU,4GZV3,0BF6M,Fall 2021,B
5SWL9,XS7LB,NT7MJ,Spring 2023,F
H17KY,9O3RS,TC1IL,Fall 2021,F
2DG1O,KLB40,BMYVM,Fall 2022,D
T0ZCJ,6PVGZ,NT7MJ,Spring 2023,A
1KEUI,UEPE0,1EKBM,Fall 2021,F
CWYTA,9MPOK,2OWVA,Spring 2021,D
NK22F,ZKUPD,Y6UO5,Spring 2023,D
L5Q5V,C15ED,HNU9L,Spring 2023,F
UBB6O,KEBIQ,VULO7,Fall 2022,F
G2M8H,EBTGY,GXFKI,Spring 2021,A
KDGY2,XW99H,063S9,Fall 2020,F
4W6ZH,EBTGY,VK3DM,Fall 2020,C
IIVQ7,S30UG,JLM1K,Spring 2022,C
ZKD31,SY0EB,ADIY2,Fall 2020,C
KU1NL,A0BZC,1GD2D,Spring 2021,A
5KH7C,ZKUPD,E89S8,Spring 2021,A
T80MR,ZQGR3,E89S8,Fall 2020,B
K4XTX,KDKA0,7GGC8,Fall 2022,A
TJ7DT,6SX7M,OVNCR,Fall 2022,F
HX5R7,XBW4K,KJ2GX,Spring 2021,D
QX5RL,IAAJY,VULO7,Spring 2023,F
6GU3A,ZZZ8L,M24VK,Fall 2020,F
NNLSK,TKGF7,KJ2GX,Fall 2022,A
0ISAP,2KITZ,M24VK,Fall 2021,A
UMNVE,MVXW8,1XYJS,Fall 2021,D
E0EBH,N29EW,M6F0D,Spring 2023,B
5ZFB3,EBTGY,WBI74,Spring 2021,D
UG2CI,6X2LB,WIMZY,Spring 2022,B
0JI0A,QVQDT,JLM1K,Spring 2023,A
R92K2,IIU14,N18K0,Fall 2021,F
EMRBC,MJ2ID,OVNCR,Fall 2020,C
8VNQU,RW1CT,1GBT1,Fall 2020,D
J7D21,LD7PN,M24VK,Fall 2020,F
LCPQ6,A0BZC,OVNCR,Fall 2022,F
ZJRZN,TKGF7,4QPMG,Fall 2020,A
MT8PT,LD7PN,WIMZY,Fall 2020,C
0MYAD,A0PY6,1GD2D,Spring 2021,B
2R4JU,ZQGR3,M24VK,Spring 2023,D
LKV9A,MJ2ID,KJ2GX,Fall 2020,D
WR79T,WILYO,IO097,Fall 2020,B
3O3O2,HPN6I,77BK2,Fall 2021,F
C07EB,7IN6B,E89S8,Fall 2021,C
LJW6F,ARCW3,AXTO8,Fall 2022,B
FG51G,E6VY3,E89S8,Fall 2021,B
8YKPH,SY0EB,WNRDJ,Fall 2021,F
RVRJK,PN5MY,UXAW6,Spring 2021,C
715HF,RTGLL,UXAW6,Spring 2023,D
93B4E,C4ELE,IO097,Spring 2022,A
Q109U,ZLVEE,ADIY2,Fall 2020,D
1Q3O8,YHZIF,PWE9T,Fall 2020,D
FS8I7,6C666,GXFKI,Spring 2023,A
9HUQ5,MJ2ID,ADIY2,Spring 2021,B
0M3LI,JHDM9,NT7MJ,Spring 2023,B
DLM27,SV23B,3H388,Spring 2021,D
8IA3P,ZLVEE,JJZX4,Spring 2021,B
